id	label	lay annotated to disease	lay not annotated to disease	clinical annotated to disease	clinical not annotated to disease	p-value	p-value-correct
MONDO:0015331	malformation syndrome with skin/mucosae involvement	1702	3055	1346	7456	4.905185730609471e-158	5.451132902426305e-154
MONDO:0043007	genetic multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome	1387	3370	938	7864	1.0846263089453168e-156	1.2053452171309305e-152
MONDO:0003382	eyelid disease	1557	3200	1161	7641	1.0153801542767768e-155	1.1283919654477822e-151
MONDO:0020151	rare palpebral disease	1557	3200	1161	7641	1.0153801542767768e-155	1.1283919654477822e-151
MONDO:0015160	multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome	1391	3366	955	7847	7.617882756845139e-154	8.465753107682004e-150
MONDO:0015159	multiple congenital anomalies/dysmorphic syndrome-intellectual disability	1738	3019	1419	7383	2.1569850957515457e-153	2.397057536908693e-149
MONDO:0000462	eye adnexa disease	1685	3072	1346	7456	3.0475284400340594e-153	3.3867183554098504e-149
MONDO:0015964	rare genetic palpebral, lacrimal system and conjunctival disease	1683	3074	1345	7457	6.938497655240188e-153	7.710752444268422e-149
MONDO:0020150	rare palpebral, lacrimal system and conjunctival disease	1683	3074	1345	7457	6.938497655240188e-153	7.710752444268422e-149
MONDO:0003900	connective tissue disease	2715	2042	2971	5831	1.194496091968163e-151	1.3274435070042195e-147
MONDO:0018751	genetic otorhinolaryngologic disease	1855	2902	1600	7202	1.1314496262208187e-150	1.2573799696191958e-146
MONDO:0015475	rare head and neck malformation	1480	3277	1083	7719	1.2076247479743592e-150	1.3420333824239054e-146
MONDO:0024654	skull disorder	1494	3263	1102	7700	1.7266014756131171e-150	1.9187722198488571e-146
MONDO:0024623	otorhinolaryngologic disease	1855	2902	1601	7201	1.7416206431075352e-150	1.9354630206854038e-146
MONDO:0020017	rare otorhinolaryngologic disease	1855	2902	1601	7201	1.7416206431075352e-150	1.9354630206854038e-146
MONDO:0015336	malformation syndrome with odontal and/or periodontal component	983	3774	497	8305	1.0018145668850389e-149	1.1133165281793437e-145
MONDO:0005172	skeletal system disease	2786	1971	3117	5685	1.5575144715025649e-148	1.7308658321808004e-144
MONDO:0015961	genetic head and neck malformation	1465	3292	1075	7727	4.192595257486407e-148	4.659231109644644e-144
MONDO:0019038	rare maxillo-facial surgical disease	1442	3315	1055	7747	6.301319346062429e-146	7.002656189279178e-142
MONDO:0023369	disease of facial skeleton	1442	3315	1056	7746	1.0444132798279682e-145	1.1606564778728211e-141
MONDO:0018238	rare bone disease related to a common gene or pathway defect	1098	3659	642	8160	3.2379375293659466e-144	3.5983199763843764e-140
MONDO:0015329	malformation syndrome with short stature	1141	3616	700	8102	5.757039872535355e-142	6.39779841034854e-138
MONDO:0002081	musculoskeletal system disease	2814	1943	3214	5588	1.1180125374359973e-141	1.242447332852624e-137
MONDO:0005516	osteochondrodysplasia	1160	3597	724	8078	1.6021182783801164e-141	1.7804340427638233e-137
MONDO:0015501	syndrome or malformation associated with head and neck malformations	1386	3371	1007	7795	1.4565317293610982e-140	1.6186437108389884e-136
MONDO:0019040	chromosomal anomaly	1334	3423	954	7848	1.4598211028938914e-137	1.6222991916459816e-133
MONDO:0015218	syndromic developmental defect of the eye	1454	3303	1111	7691	2.5712743679013727e-137	2.8574572050487955e-133
MONDO:0020018	cranial malformation	977	3780	535	8267	1.9868790056186604e-136	2.2080186389440175e-132
MONDO:0019589	syndromic genetic deafness	1518	3239	1213	7589	4.85058751389403e-134	5.390457904190436e-130
MONDO:0037940	inherited auditory system disease	1522	3235	1219	7583	6.265549972279127e-134	6.962905684193794e-130
MONDO:0002409	auditory system disease	1522	3235	1219	7583	6.265549972279127e-134	6.962905684193794e-130
MONDO:0005365	hearing loss	1521	3236	1219	7583	1.1637517566428108e-133	1.2932773271571557e-129
MONDO:0021945	hearing disorder	1521	3236	1219	7583	1.1637517566428108e-133	1.2932773271571557e-129
MONDO:0019047	rare deafness	1521	3236	1219	7583	1.1637517566428108e-133	1.2932773271571557e-129
MONDO:0015621	rare abdominal surgical disease	1458	3299	1141	7661	2.971510060163519e-132	3.3022391298597186e-128
MONDO:0020145	developmental defect of the eye	1462	3295	1147	7655	4.001823878910535e-132	4.447226876633277e-128
MONDO:0020119	X-linked syndromic intellectual disability	1394	3363	1067	7735	5.300976747459163e-130	5.890975459451367e-126
MONDO:0001411	synostosis	913	3844	489	8313	1.1259820014706613e-129	1.251303798234346e-125
MONDO:0015332	rare developmental defect with connective tissue involvement	971	3786	553	8249	1.719105014083582e-129	1.910441402151085e-125
MONDO:0020002	rare surgical thoracic disease	1391	3366	1070	7732	1.4285185059277247e-128	1.5875126156374804e-124
MONDO:0015880	syndromic diaphragmatic or thoracic malformation	965	3792	551	8251	3.3242044611802727e-128	3.694188417709637e-124
MONDO:0015334	branchial arch or oral-acral syndrome	967	3790	554	8248	5.433288307250433e-128	6.038013295847407e-124
MONDO:0005084	mental disorder	2175	2582	2224	6578	6.309715436914102e-128	7.011986765042642e-124
MONDO:0015162	rare syndromic intellectual disability	2156	2601	2196	6606	1.4534793435776428e-127	1.6152515945178347e-123
MONDO:0000508	syndromic intellectual disability	2156	2601	2196	6606	1.4534793435776428e-127	1.6152515945178347e-123
MONDO:0015983	rare genetic syndromic intellectual disability	2156	2601	2196	6606	1.4534793435776428e-127	1.6152515945178347e-123
MONDO:0015330	overgrowth/obesity syndrome	1185	3572	814	7988	5.114012346934404e-127	5.683201921148204e-123
MONDO:0003916	overnutrition	989	3768	583	8219	8.076268636921056e-127	8.975157336210369e-123
MONDO:0016565	syndromic obesity	946	3811	535	8267	8.249116861982877e-127	9.167243568721571e-123
MONDO:0015469	craniosynostosis	900	3857	485	8317	9.049905172862922e-127	1.0057159618602565e-122
MONDO:0000425	X-linked disease	1601	3156	1366	7436	9.095239492542077e-127	1.010753964806201e-122
MONDO:0020606	sex-linked disease	1601	3156	1366	7436	9.095239492542077e-127	1.010753964806201e-122
MONDO:0020049	autosomal anomaly	1222	3535	862	7940	1.4872929855661663e-126	1.6528286948596807e-122
MONDO:0001071	intellectual disability	2159	2598	2208	6594	1.827941706637333e-126	2.031391618586068e-122
MONDO:0015982	rare genetic intellectual disability	2159	2598	2208	6594	1.827941706637333e-126	2.031391618586068e-122
MONDO:0019491	rare intellectual disability	2159	2598	2208	6594	1.827941706637333e-126	2.031391618586068e-122
MONDO:0016761	spondyloepiphyseal dysplasia and spondyloepimetaphyseal dysplasia	958	3799	550	8252	2.4207018238974875e-126	2.690125936897278e-122
MONDO:0005503	developmental disorder of mental health	2163	2594	2217	6585	4.5395140393994305e-126	5.044761951984587e-122
MONDO:0019043	rare genetic skin disease	2045	2712	2032	6770	8.145066087457056e-126	9.051611942991027e-122
MONDO:0019182	genetic obesity	972	3785	569	8233	1.943632335053569e-125	2.1599586139450312e-121
MONDO:0015338	syndromic craniosynostosis	883	3874	472	8330	3.032932698536424e-125	3.370498107883528e-121
MONDO:0024255	genetic skin disease	2048	2709	2041	6761	3.824073178681867e-125	4.249692523469159e-121
MONDO:0011122	obesity (disease)	973	3784	573	8229	1.1424814594476201e-124	1.2696396458841403e-120
MONDO:0015216	syndromic diaphragmatic or abdominal wall malformation	988	3769	590	8212	1.1572266039283147e-124	1.2860259249455361e-120
MONDO:0019519	rare skin disease	2051	2706	2050	6752	1.7793810793304426e-124	1.9774261934599207e-120
MONDO:0019705	primary bone dysplasia with defective bone mineralization	1070	3687	687	8115	3.470242685265043e-124	3.856480696135042e-120
MONDO:0020021	diaphragmatic or abdominal wall malformation	991	3766	596	8206	5.515390480519318e-124	6.129253441001118e-120
MONDO:0005093	skin disease	2060	2697	2072	6730	2.9124860997863966e-123	3.2366458026926226e-119
MONDO:0020014	rare disease with odontological manifestation	836	3921	429	8373	3.026961297275365e-123	3.363862089662113e-119
MONDO:0020054	partial autosomal monosomy	1114	3643	746	8056	1.1484363326463488e-122	1.2762572964698874e-118
MONDO:0020639	monosomy	1114	3643	749	8053	5.794688004973549e-122	6.439636779927105e-118
MONDO:0015153	autosomal monosomy	1114	3643	749	8053	5.794688004973549e-122	6.439636779927105e-118
MONDO:0000426	autosomal dominant disease	1826	2931	1721	7081	6.052450903542078e-122	6.726088689106312e-118
MONDO:0004603	collagenopathy	869	3888	471	8331	3.5202342657042326e-121	3.912036339477114e-117
MONDO:0020169	rare disorder with ptosis	981	3776	596	8206	5.1256037796943e-121	5.6960834803742754e-117
MONDO:0020168	kinetic eyelid anomaly	981	3776	596	8206	5.1256037796943e-121	5.6960834803742754e-117
MONDO:0015335	orofacial clefting syndrome	1025	3732	649	8153	1.699004768728512e-120	1.8881039994879953e-116
MONDO:0015327	developmental anomaly of metabolic origin	1956	2801	1929	6873	2.586394127578533e-120	2.8742597939780236e-116
MONDO:0000839	congenital abnormality	3081	1676	3868	4934	4.9000121806654314e-120	5.445383536373494e-116
MONDO:0019755	developmental defect during embryogenesis	3081	1676	3868	4934	4.9000121806654314e-120	5.445383536373494e-116
MONDO:0015506	rare syndrome with cardiac malformations	987	3770	609	8193	1.880041254276926e-119	2.0892898458779477e-115
MONDO:0020223	lens and zonula anomaly	1368	3389	1087	7715	4.8133003043793914e-119	5.349020628256818e-115
MONDO:0015946	rare genetic epidermal disorder	1251	3506	935	7867	9.814916594107555e-119	1.0907316811031727e-114
MONDO:0005137	nutritional disorder	1060	3697	698	8104	1.1810920826003272e-118	1.3125476313937436e-114
MONDO:0000761	syndrome caused by partial chromosomal deletion	1045	3712	685	8117	1.744897644296957e-117	1.9391047521072084e-113
MONDO:0020158	eyelids malposition disorder	882	3875	499	8303	2.848822449609186e-117	3.1658963882506884e-113
MONDO:0017432	syndrome with limb reduction defects	990	3767	623	8179	8.317326997312437e-117	9.243045492113311e-113
MONDO:0019721	syndromic renal or urinary tract malformation	1241	3516	932	7870	1.1185480973252949e-116	1.2430425005576003e-112
MONDO:0018236	dysostosis with limb and face anomalies as a major feature	758	3999	370	8432	1.2147843945144844e-116	1.3499898976239466e-112
MONDO:0019699	slender bone dysplasia	796	3961	412	8390	9.052025565655356e-116	1.0059516011112797e-111
MONDO:0019719	congenital anomaly of kidney and urinary tract	1245	3512	943	7859	1.787306477182542e-115	1.986233688092959e-111
MONDO:0020225	syndromic cataract	1240	3517	937	7865	2.2287093635667535e-115	2.476764715731733e-111
MONDO:0002051	integumentary system disease	2130	2627	2238	6564	3.988638288759606e-115	4.4325737302985504e-111
MONDO:0019291	rare genetic dermis disorder	1136	3621	809	7993	1.6322624263101663e-114	1.813933234358488e-110
MONDO:0021154	dermis disease	1136	3621	809	7993	1.6322624263101663e-114	1.813933234358488e-110
MONDO:0020224	rare cataract	1242	3515	946	7856	4.57522428137262e-114	5.084446743889393e-110
MONDO:0005129	cataract (disease)	1242	3515	946	7856	4.57522428137262e-114	5.084446743889393e-110
MONDO:0002025	psychiatric disorder	2279	2478	2499	6303	1.2076121342335712e-112	1.3420193647737677e-108
MONDO:0001176	lens disease	1284	3473	1009	7793	1.8567295840940182e-112	2.0633835868036823e-108
MONDO:0017119	syndrome with microcephaly as major feature	813	3944	442	8360	2.907586402599208e-112	3.2312007692084997e-108
MONDO:0017434	syndrome with limb duplication, polydactyly, syndactyly, and/or hyperphalangy	935	3822	581	8221	2.1584409500307545e-111	2.3986754277691775e-107
MONDO:0020227	systemic disease with cataract	1070	3687	743	8059	4.644433657453254e-111	5.161359123527801e-107
MONDO:0018296	congenital disorder of glycosylation with developmental anomaly	939	3818	587	8215	4.795006345469733e-111	5.328690551720514e-107
MONDO:0001519	entropion (disease)	752	4005	382	8420	5.010224835420064e-111	5.567862859602317e-107
MONDO:0020159	congenital entropion	752	4005	382	8420	5.010224835420064e-111	5.567862859602317e-107
MONDO:0006025	autosomal recessive disease	1853	2904	1831	6971	5.120941002318344e-111	5.690901735876375e-107
MONDO:0019292	dermis elastic tissue disorder	900	3857	544	8258	1.244402536595911e-110	1.382904538919036e-106
MONDO:0020003	rare surgical cardiac disease	1063	3694	737	8065	1.7530868747755297e-110	1.9482054439380461e-106
MONDO:0021147	disorder of development or morphogenesis	3104	1653	3993	4809	6.113483197417513e-110	6.793913877290082e-106
MONDO:0044971	disease of macromolecular complex	1237	3520	960	7842	6.122190115528281e-110	6.803589875386579e-106
MONDO:0017133	genetic systemic or rheumatologic disease	1416	3341	1201	7601	6.9947039903001e-110	7.773214544420501e-106
MONDO:0015960	rare genetic developmental defect during embryogenesis	3031	1726	3860	4942	3.3748325030612696e-109	3.7504513606519886e-105
MONDO:0000429	autosomal genetic disease	2268	2489	2511	6291	1.6008065846047448e-108	1.7789763574712528e-104
MONDO:0015938	systemic disease	1381	3376	1163	7639	4.810657796544466e-108	5.346084009299865e-104
MONDO:0018292	congenital disorder of glycosylation-related bone disorder	745	4012	387	8415	2.4100765756561126e-107	2.678318098526638e-103
MONDO:0020019	digestive tract malformation	1052	3705	741	8061	1.3457758906837365e-106	1.4955607473168363e-102
MONDO:0015511	rare genetic urogenital disease	1531	3226	1389	7413	2.2325420993271004e-105	2.4810240349822066e-101
MONDO:0020222	rare disease with glaucoma as a major feature	1006	3751	691	8111	3.272662914391839e-105	3.636910296763651e-101
MONDO:0020012	systemic or rheumatic disease	1460	3297	1291	7511	7.209328592372768e-105	8.011726864703857e-101
MONDO:0015945	polymalformative genetic syndrome with increased risk of developing cancer	1258	3499	1017	7785	2.839318648652547e-104	3.155334814247575e-100
MONDO:0024322	disorder of glycosylation	1129	3628	849	7953	3.4649811061864777e-104	3.8506335033050327e-100
MONDO:0019709	cleidocranial dysplasia and isolated cranial ossification defect	524	4233	185	8617	4.25602667628769e-104	4.72972244535851e-100
MONDO:0015286	congenital disorder of glycosylation	1125	3632	845	7957	5.830693926851347e-104	6.479650160909902e-100
MONDO:0015106	rare urogenital disease	1534	3223	1403	7399	8.84753495288055e-104	9.832265593136156e-100
MONDO:0019938	anorectal malformation	958	3799	641	8161	1.9295233341831184e-103	2.1442792812776993e-99
MONDO:0015246	syndromic anorectal malformation	958	3799	641	8161	1.9295233341831184e-103	2.1442792812776993e-99
MONDO:0015333	progeroid syndrome	880	3877	550	8252	2.397175690636961e-103	2.6639813450048545e-99
MONDO:0018237	acrofacial dysostosis	621	4136	276	8526	4.1524981423485245e-103	4.6146711855919155e-99
MONDO:0019268	rare epidermal disease	1090	3667	805	7997	4.764600894556279e-103	5.2949009741203936e-99
MONDO:0100038	complex neurodevelopmental disorder	2271	2486	2558	6244	6.005372771684051e-103	6.673770761172486e-99
MONDO:0005039	reproductive system disease	1383	3374	1195	7607	7.649413406191356e-103	8.500793118300454e-99
MONDO:0015980	rare genetic gynecological and obstetrical diseases	1205	3552	956	7846	1.6190160681254951e-102	1.7992125565078628e-98
MONDO:0019703	primary bone dysplasia with increased bone density	817	3940	483	8319	2.988010563089295e-102	3.3205761387611334e-98
MONDO:0021145	disease of genitourinary system	1539	3218	1420	7382	3.476024693917377e-102	3.8629062423503815e-98
MONDO:0020163	canthal anomaly	788	3969	452	8350	5.660991325339643e-102	6.291059659849945e-98
MONDO:0019715	syndrome with synostosis or other joint formation defect	630	4127	293	8509	2.352906087640887e-100	2.6147845351953177e-96
MONDO:0019301	metabolic disease with skin involvement	833	3924	509	8293	3.467116772662181e-100	3.853006869459482e-96
MONDO:0000275	monogenic disease	2446	2311	2877	5925	3.6375496003830013e-100	4.04240887090563e-96
MONDO:0019937	rare gynecologic or obstetric disease	1209	3548	974	7828	4.249433036986819e-100	4.722394934003452e-96
MONDO:0002263	female reproductive system disease	1212	3545	979	7823	6.607750527854716e-100	7.343193161604945e-96
MONDO:0020030	rare genetic renal disease	1740	3017	1737	7065	2.7587838438357382e-99	3.065836485654656e-95
MONDO:0021059	head or neck disease/disorder	2525	2232	3027	5775	1.3497093476951803e-98	1.499931998093654e-94
MONDO:0019750	rare renal disease	1767	2990	1783	7019	1.4022158785114193e-98	1.5582825057897403e-94
MONDO:0005240	kidney disease	1767	2990	1783	7019	1.4022158785114193e-98	1.5582825057897403e-94
MONDO:0005042	head disease	2455	2302	2910	5892	5.195624823387301e-98	5.773897866230308e-94
MONDO:0019697	mesomelic and rhizo-mesomelic dysplasia	564	4193	237	8565	6.367979353213025e-98	7.076735455225634e-94
MONDO:0017950	microcephalic primordial dwarfism	664	4093	335	8467	7.406849483127012e-98	8.231231830599049e-94
MONDO:0002118	urinary system disease	1768	2989	1792	7010	1.6856761128388352e-97	1.8732918641977976e-93
MONDO:0019296	subcutaneous tissue disease	793	3964	475	8327	2.2526234574564152e-97	2.5033404482713143e-93
MONDO:0019710	dysostosis with predominant craniofacial involvement	626	4131	299	8503	3.800920082864748e-97	4.2239624880875945e-93
MONDO:0015319	rare disease with Pierre Robin syndrome	681	4076	355	8447	4.0883242072814596e-97	4.543354691551886e-93
MONDO:0044987	face disease	2418	2339	2859	5943	1.955779192815772e-96	2.1734574169761676e-92
MONDO:0015220	syndrome with a central nervous system malformation as major feature	1456	3301	1337	7465	2.6946060476756983e-96	2.9945157007820035e-92
MONDO:0019590	rare endocrine growth disease	1093	3664	849	7953	5.874064465984573e-95	6.527847841048655e-91
MONDO:0018187	genetic syndromic Pierre Robin syndrome	657	4100	338	8464	8.464789811983946e-95	9.406920918057759e-91
MONDO:0015514	genetic endocrine growth disease	1088	3669	845	7957	1.7697536914337852e-94	1.9667272772903656e-90
MONDO:0002917	disease of pilosebaceous unit	759	3998	452	8350	1.5847330671134316e-93	1.7611138574831564e-89
MONDO:0019695	acromelic dysplasia	640	4117	325	8477	1.814797630115489e-93	2.016784606347343e-89
MONDO:0020001	respiratory or thoracic malformation	755	4002	448	8354	2.0651469753404363e-93	2.294997833695827e-89
MONDO:0000651	thoracic disease	1760	2997	1809	6993	2.4674436720252744e-93	2.7420701527216875e-89
MONDO:0015929	thoracic malformation	720	4037	410	8392	2.685497477853467e-93	2.9843933471385577e-89
MONDO:0021568	renal tubule disease	908	3849	627	8175	4.9133902510687155e-93	5.4602505860126636e-89
MONDO:0015962	inherited renal tubular disease	908	3849	627	8175	4.9133902510687155e-93	5.4602505860126636e-89
MONDO:0015620	syndromic urogenital tract malformation	742	4015	437	8365	1.5786842192225483e-92	1.754391772822018e-88
MONDO:0024417	perceptual disorders	2395	2362	2852	5950	1.7192584157057573e-92	1.9106118773738082e-88
MONDO:0044965	abdominal and pelvic region disorder	2058	2699	2289	6513	2.6665449247298942e-92	2.963331374852331e-88
MONDO:0020022	central nervous system malformation	1512	3245	1445	7357	4.412113637602334e-92	4.903181885467474e-88
MONDO:0037792	carbohydrate metabolism disease	1502	3255	1432	7370	7.808146413811493e-92	8.677193109668713e-88
MONDO:0019214	inborn carbohydrate metabolic disorder	1502	3255	1432	7370	7.808146413811493e-92	8.677193109668713e-88
MONDO:0016175	cutis laxa	612	4145	302	8500	8.087888277404478e-92	8.988070242679597e-88
MONDO:0015107	rare genetic eye disease	2284	2473	2669	6133	1.0306643642233562e-91	1.1453773079614157e-87
MONDO:0015510	rare genetic respiratory disease	1086	3671	857	7945	1.1507075341568628e-91	1.2787812827085216e-87
MONDO:0005128	sensory system disease	2395	2362	2862	5940	2.681250577644894e-91	2.9796737669367706e-87
MONDO:0019356	urogenital tract malformation	743	4014	445	8357	9.545881334523493e-91	1.0608337927055958e-86
MONDO:0021084	vision disorder	2288	2469	2684	6118	1.0222770227253393e-90	1.1360564553546695e-86
MONDO:0024458	disease of visual system	2288	2469	2684	6118	1.0222770227253393e-90	1.1360564553546695e-86
MONDO:0019303	premature aging	758	3999	462	8340	1.0828158238411175e-90	1.2033332250346338e-86
MONDO:0002022	disease of orbital region	2287	2470	2684	6118	1.6368754873227378e-90	1.8190597290617584e-86
MONDO:0005328	eye disease	2287	2470	2684	6118	1.6368754873227378e-90	1.8190597290617584e-86
MONDO:0005560	brain disease	2411	2346	2897	5905	2.0075027957836803e-90	2.230937856954404e-86
MONDO:0020004	rare eye disease	2286	2471	2684	6118	2.6196031084715713e-90	2.911164934444457e-86
MONDO:0019744	rare renal tubular disease	910	3847	642	8160	2.7574337912938654e-90	3.0643361722648726e-86
MONDO:0019278	hair anomaly	684	4073	383	8419	4.540238156607563e-90	5.045566663437985e-86
MONDO:0001149	microcephaly (disease)	518	4239	217	8585	7.606056754355801e-90	8.452610871115602e-86
MONDO:0019704	primary bone dysplasia with decreased bone density	643	4114	341	8461	1.1395696713692499e-89	1.2664037757926474e-85
MONDO:0002254	syndromic disease	2965	1792	3907	4895	2.591060645419156e-89	2.879445695254308e-85
MONDO:0019824	non-acquired pituitary hormone deficiency	892	3865	626	8176	5.155318852191214e-89	5.729105840440096e-85
MONDO:0045010	glycoprotein metabolism disease	937	3820	682	8120	7.76531148829679e-89	8.629590656944222e-85
MONDO:0020000	rare respiratory disease	1132	3625	933	7869	8.598216533946715e-89	9.555198034174984e-85
MONDO:0021027	genetic hair anomaly	674	4083	377	8425	8.969663097406344e-89	9.96798660014767e-85
MONDO:0015889	rare hypothalamic or pituitary disease	909	3848	648	8154	9.740901089271071e-89	1.0825063380506942e-84
MONDO:0015127	pituitary deficiency	900	3857	638	8164	1.5890796611238886e-88	1.7659442274069772e-84
MONDO:0002259	gonadal disease	1074	3683	859	7943	2.469904884825952e-88	2.7448052985070804e-84
MONDO:0018386	rare male infertility due to hypothalamic-pituitary-gonadal axis disorder	933	3824	680	8122	3.194616469333109e-88	3.550177282369884e-84
MONDO:0018405	rare male infertility due to hypothalamic-pituitary-gonadal axis disorder of genetic origin	933	3824	680	8122	3.194616469333109e-88	3.550177282369884e-84
MONDO:0020280	metabolic disease with cataract	801	3956	522	8280	4.539759804630408e-88	5.045035070885773e-84
MONDO:0005087	respiratory system disease	1134	3623	940	7862	5.183535552410202e-88	5.760463059393457e-84
MONDO:0019690	filamin-related bone disorder	567	4190	270	8532	8.549894375846865e-88	9.50149761987862e-84
MONDO:0017656	motor stereotypies	1068	3689	855	7947	1.2884937037023478e-87	1.4319030529244191e-83
MONDO:0019936	rare otorhinolaryngological malformation	633	4124	339	8463	3.0268711826884706e-87	3.3637619453216974e-83
MONDO:0020024	rare infertility	1057	3700	843	7959	3.5514979849918302e-87	3.946779710721421e-83
MONDO:0019700	primary bone dysplasia with multiple joint dislocations	545	4212	251	8551	5.550872538367726e-87	6.168684651888054e-83
MONDO:0015356	hereditary neoplastic syndrome	1398	3359	1315	7487	1.2131581408475874e-86	1.3481826419239238e-82
MONDO:0021058	neoplastic syndrome	1400	3357	1318	7484	1.2652109878084544e-86	1.4060289707515354e-82
MONDO:0005047	infertility disorder	1057	3700	846	7956	1.2912667498741316e-86	1.4349847391351225e-82
MONDO:0017143	genetic infertility	1057	3700	846	7956	1.2912667498741316e-86	1.4349847391351225e-82
MONDO:0020029	rare genetic cardiac disease	1440	3317	1376	7426	1.3021695335789403e-86	1.4471010026662765e-82
MONDO:0015919	syndromic neurometabolic disease with non-X-linked intellectual disability	860	3897	599	8203	1.8053510329628744e-86	2.0062866029316424e-82
MONDO:0019996	rare cardiac disease	1449	3308	1391	7411	2.50472929537945e-86	2.783505665955183e-82
MONDO:0018404	rare genetic male infertility	1021	3736	802	8000	4.220455068953324e-86	4.6901917181278286e-82
MONDO:0020025	rare male infertility	1021	3736	802	8000	4.220455068953324e-86	4.6901917181278286e-82
MONDO:0005372	male infertility	1021	3736	803	7999	6.540061053929743e-86	7.267969849232122e-82
MONDO:0005267	heart disease	1449	3308	1395	7407	9.93172105370149e-86	1.1037121606978466e-81
MONDO:0017741	disorder of protein O-glycosylation	795	3962	526	8276	1.6354734677926502e-85	1.8175016647579721e-81
MONDO:0015949	rare genetic subcutaneous tissue disorder	739	4018	463	8339	4.0049866472381947e-85	4.450741661075806e-81
MONDO:0019058	neurometabolic disease	1479	3278	1445	7357	7.639907990578082e-85	8.490229749929422e-81
MONDO:0020237	lens shape anomaly	696	4061	416	8386	8.345978111964962e-85	9.274885475826662e-81
MONDO:0018293	congenital disorder of glycosylation with skin involvement	665	4092	382	8420	8.36058365559998e-85	9.291116616468257e-81
MONDO:0003150	male reproductive system disease	1023	3734	815	7987	3.8782735320920294e-84	4.309925376213872e-80
MONDO:0015225	arthrogryposis syndrome	736	4021	466	8336	1.4358444871845032e-83	1.5956539786081384e-79
MONDO:0015513	rare genetic endocrine disease	2014	2743	2293	6509	7.552643335558159e-83	8.393252538805782e-79
MONDO:0044137	vitreous body disorder	1198	3559	1057	7745	7.990395645438495e-83	8.8797266807758e-79
MONDO:0020238	inherited vitreous-retinal disease	1198	3559	1057	7745	7.990395645438495e-83	8.8797266807758e-79
MONDO:0020050	autosomal trisomy	651	4106	375	8427	1.2503841712145939e-82	1.3895519294707782e-78
MONDO:0015652	chromosomal anomaly with epilepsy as a major feature	672	4085	398	8404	1.2790146648384142e-82	1.4213689970349297e-78
MONDO:0019691	short rib dysplasia	634	4123	357	8445	1.5438786802981006e-82	1.7157123774152791e-78
