id	label	gc annotated to disease	gc not annotated to disease	non-gc annotated to disease	non-gc not annotated to disease	p-value	p-value-correct
MONDO:0019519	rare skin disease	192	23	3909	9435	1.4836480485979126e-74	1.6487780764068603e-70
MONDO:0015218	syndromic developmental defect of the eye	163	52	2402	10942	1.9298625400868784e-74	2.144656240798548e-70
MONDO:0000462	eye adnexa disease	173	42	2858	10486	2.170817479463799e-74	2.4124294649281198e-70
MONDO:0020032	rare urinary tract tumor	100	115	557	12787	2.3655509526892437e-74	2.6288367737235566e-70
MONDO:0015972	rare constitutional anemia	137	78	1459	11885	2.645843896533455e-74	2.9403263222176285e-70
MONDO:0005046	immune system disease	172	43	2816	10528	3.0432881701948475e-74	3.382006143537534e-70
MONDO:0015223	rare anemia	137	78	1461	11883	3.12471524370151e-74	3.472496050325488e-70
MONDO:0015331	malformation syndrome with skin/mucosae involvement	173	42	2875	10469	5.4941515714777065e-74	6.105650641383175e-70
MONDO:0005093	skin disease	192	23	3940	9404	6.049677907881109e-74	6.723007059028277e-70
MONDO:0020223	lens and zonula anomaly	160	55	2295	11049	6.07959696734819e-74	6.756256109814044e-70
MONDO:0020008	rare immune disease	170	45	2735	10609	6.486632585862634e-74	7.208594792669145e-70
MONDO:0019721	syndromic renal or urinary tract malformation	153	62	2020	11324	6.650046199425044e-74	7.390196341421052e-70
MONDO:0005021	dilated cardiomyopathy	128	87	1206	12138	6.934498839986761e-74	7.706308560877287e-70
MONDO:0016333	familial dilated cardiomyopathy	128	87	1206	12138	6.934498839986761e-74	7.706308560877287e-70
MONDO:0001176	lens disease	156	59	2137	11207	7.294748003663091e-74	8.106653456470793e-70
MONDO:0015963	inherited renal tumor	97	118	511	12833	7.705896982001499e-74	8.563563316098266e-70
MONDO:0020225	syndromic cataract	153	62	2024	11320	8.711612270626449e-74	9.681214716347173e-70
MONDO:0018792	Moyamoya syndrome	121	94	1024	12320	9.92072123123246e-74	1.1024897504268633e-69
MONDO:0017656	motor stereotypies	146	69	1777	11567	1.4717355746644216e-73	1.6355397441245717e-69
MONDO:0018791	Moyomoya angiopathy	121	94	1028	12316	1.5032738320102828e-73	1.6705882095130273e-69
MONDO:0005020	intestinal disease	141	74	1609	11735	1.6120172508207233e-73	1.7914347708370697e-69
MONDO:0019719	congenital anomaly of kidney and urinary tract	153	62	2035	11309	1.8253411000983437e-73	2.0285015645392893e-69
MONDO:0020224	rare cataract	153	62	2035	11309	1.8253411000983437e-73	2.0285015645392893e-69
MONDO:0005129	cataract (disease)	153	62	2035	11309	1.8253411000983437e-73	2.0285015645392893e-69
MONDO:0019058	neurometabolic disease	170	45	2754	10590	1.8757219344048973e-73	2.0844897857041624e-69
MONDO:0016329	familial syndrome associated with hypertrophic cardiomyopathy	118	97	956	12388	1.9920605591258375e-73	2.2137768993565432e-69
MONDO:0016132	rare hereditary disease with peripheral neuropathy	140	75	1583	11761	2.713242814996336e-73	3.015226740305428e-69
MONDO:0015964	rare genetic palpebral, lacrimal system and conjunctival disease	172	43	2856	10488	2.7268790197258197e-73	3.0303806546213033e-69
MONDO:0020150	rare palpebral, lacrimal system and conjunctival disease	172	43	2856	10488	2.7268790197258197e-73	3.0303806546213033e-69
MONDO:0020145	developmental defect of the eye	163	52	2446	10898	2.74706577283694e-73	3.052814193353691e-69
MONDO:0021163	kidney neoplasm	99	116	555	12789	2.941481635670498e-73	3.2688685417206245e-69
MONDO:0019749	rare renal tumor	99	116	555	12789	2.941481635670498e-73	3.2688685417206245e-69
MONDO:0005137	nutritional disorder	141	74	1617	11727	2.997693084628011e-73	3.331336324947108e-69
MONDO:0020163	canthal anomaly	124	91	1116	12228	4.1388156568188673e-73	4.599465839422807e-69
MONDO:0003620	peripheral nervous system disease	172	43	2864	10480	4.211420319737127e-73	4.68015140132387e-69
MONDO:0020012	systemic or rheumatic disease	166	49	2585	10759	4.229910132512856e-73	4.700699130261537e-69
MONDO:0015962	inherited renal tubular disease	134	81	1401	11943	4.516212427276387e-73	5.018866870432249e-69
MONDO:0021568	renal tubule disease	134	81	1401	11943	4.516212427276387e-73	5.018866870432249e-69
MONDO:0005552	ocular vascular disease	122	93	1067	12277	5.876507191796217e-73	6.530562442243136e-69
MONDO:0015920	syndromic neurometabolic disease with X-linked intellectual disability	112	103	825	12519	6.039614851210787e-73	6.711823984150548e-69
MONDO:0042983	neurocutaneous syndrome	116	99	918	12426	6.15635084680909e-73	6.841552696058943e-69
MONDO:0019213	cerebral organic aciduria	129	86	1260	12084	7.518836346709055e-73	8.355682832097772e-69
MONDO:0021196	disease by molecular activity disrupted	156	59	2176	11168	9.065205812176185e-73	1.0074163219071395e-68
MONDO:0019716	overgrowth syndrome	127	88	1208	12136	1.1146040193979074e-72	1.2386594467568946e-68
MONDO:0015970	rare genetic parathyroid disease and phosphocalcic metabolism disorder	118	97	974	12370	1.3812811318859636e-72	1.5350177218648714e-68
MONDO:0001223	parathyroid gland disease	118	97	975	12369	1.5365201606609802e-72	1.7075348545425472e-68
MONDO:0019061	rare parathyroid disease and phosphocalcic metabolism anomaly	118	97	975	12369	1.5365201606609802e-72	1.7075348545425472e-68
MONDO:0015616	rare genetic intestinal disease	139	76	1573	11771	1.5763071599501019e-72	1.7517501468525482e-68
MONDO:0015126	polyendocrinopathy	107	108	725	12619	1.8355190046786055e-72	2.0398122698993343e-68
MONDO:0019300	rare skin tumor or hamartoma	120	95	1027	12317	1.868565386587345e-72	2.0765367141145165e-68
MONDO:0019744	rare renal tubular disease	134	81	1418	11926	1.88611682699923e-72	2.0960416298442442e-68
MONDO:0015333	progeroid syndrome	130	85	1300	12044	2.0550520181031193e-72	2.2837793077179964e-68
MONDO:0015656	metabolic disease with epilepsy	153	62	2072	11272	2.1309652278063254e-72	2.3681416576611694e-68
MONDO:0015245	rare intestinal disease	139	76	1577	11767	2.1549308066106786e-72	2.394774605386447e-68
MONDO:0024481	skin appendage disease	159	56	2315	11029	2.7025362917286917e-72	3.003328580998095e-68
MONDO:0002051	integumentary system disease	194	21	4174	9170	5.177679293717983e-72	5.7539549991087944e-68
MONDO:0015984	rare genetic immune disease	166	49	2629	10715	5.241048737477435e-72	5.824377461958673e-68
MONDO:0019216	inborn disorder of amino acid absorption and transport	99	116	575	12769	6.198941749074659e-72	6.888883965746669e-68
MONDO:0015653	monogenic disease with epilepsy	141	74	1658	11686	6.854485627434114e-72	7.617389877767531e-68
MONDO:0005165	benign neoplasm	116	99	942	12402	8.549795766212591e-72	9.501388034992052e-68
MONDO:0002561	lysosomal storage disease	134	81	1444	11900	1.6224470517933372e-71	1.8030254086579358e-67
MONDO:0024654	skull disorder	161	54	2435	10909	2.3444671560889503e-71	2.6054063505616504e-67
MONDO:0100033	metabolic epilepsy	126	89	1214	12130	2.5285614264437307e-71	2.8099903132069177e-67
MONDO:0020033	rare digestive tumor	108	107	768	12576	2.7877339179974154e-71	3.098008703070528e-67
MONDO:0021223	digestive system neoplasm	108	107	770	12574	3.5648846907848848e-71	3.9616563568692424e-67
MONDO:0016110	non-dystrophic myopathy	126	89	1225	12119	6.883382647517289e-71	7.649503136185963e-67
MONDO:0021166	inflammatory disease	121	94	1090	12254	7.697314870984927e-71	8.55402601612555e-67
MONDO:0044976	disease of catalytic activity	143	72	1759	11585	7.708983264384582e-71	8.566993101710587e-67
MONDO:0005395	movement disorder	166	49	2684	10660	1.1445917846531435e-70	1.2719848502850384e-66
MONDO:0015143	rare movement disorder	166	49	2684	10660	1.1445917846531435e-70	1.2719848502850384e-66
MONDO:0020016	rare neurologic disease with psychiatric involvement	155	60	2213	11131	1.1659045957590012e-70	1.295669777266978e-66
MONDO:0005027	epilepsy	172	43	2970	10374	1.1851003664898034e-70	1.3170020372801184e-66
MONDO:0015139	rare epilepsy	172	43	2970	10374	1.1851003664898034e-70	1.3170020372801184e-66
MONDO:0015905	syndromic dyslipidemia	131	84	1377	11967	1.2224545540357194e-70	1.358513745899895e-66
MONDO:0020126	rare peripheral neuropathy	168	47	2779	10565	1.2956255413160536e-70	1.4398286640645305e-66
MONDO:0019277	epidermal appendage anomaly	157	58	2300	11044	1.668437945528473e-70	1.8541350888657922e-66
MONDO:0019303	premature aging	121	94	1099	12245	1.8468205944874432e-70	2.0523717266538956e-66
MONDO:0018399	rare disorder with female infertility due to a congenital hypogonadotropic hypogonadism	102	113	658	12686	2.1216862104805136e-70	2.3578298857069947e-66
MONDO:0020002	rare surgical thoracic disease	157	58	2304	11040	2.1275195046173678e-70	2.3643124254812808e-66
MONDO:0020119	X-linked syndromic intellectual disability	157	58	2304	11040	2.1275195046173678e-70	2.3643124254812808e-66
MONDO:0020127	genetic peripheral neuropathy	166	49	2696	10648	2.223034771153561e-70	2.4704585411829523e-66
MONDO:0015880	syndromic diaphragmatic or thoracic malformation	131	84	1385	11959	2.387271108765051e-70	2.652974383170601e-66
MONDO:0005244	peripheral neuropathy	168	47	2792	10552	2.619322750840224e-70	2.910853373008741e-66
MONDO:0020606	sex-linked disease	168	47	2799	10545	3.8209438859580043e-70	4.24621494046513e-66
MONDO:0000425	X-linked disease	168	47	2799	10545	3.8209438859580043e-70	4.24621494046513e-66
MONDO:0015957	rare genetic movement disorder	165	50	2663	10681	4.4859215925664905e-70	4.985204665819141e-66
MONDO:0016382	hereditary poikiloderma	94	121	512	12832	4.508785112410422e-70	5.010612895421702e-66
MONDO:0002259	gonadal disease	143	72	1790	11554	7.036908240856906e-70	7.82011612806428e-66
MONDO:0019214	inborn carbohydrate metabolic disorder	167	48	2767	10577	8.563325718011839e-70	9.516423870426557e-66
MONDO:0037792	carbohydrate metabolism disease	167	48	2767	10577	8.563325718011839e-70	9.516423870426557e-66
MONDO:0021080	blood vessel neoplasm	91	124	465	12879	9.792583797869696e-70	1.0882498374572594e-65
MONDO:0018035	syndrome with combined immunodeficiency	130	85	1372	11972	9.941905159796407e-70	1.1048439204081748e-65
MONDO:0003240	thyroid gland disease	105	110	735	12609	1.4335779303757414e-69	1.5931351540265615e-65
MONDO:0021026	genetic epidermal appendage anomaly	156	59	2296	11048	1.578868335469284e-69	1.7545963812070153e-65
MONDO:0001519	entropion (disease)	117	98	1017	12327	1.611898829648054e-69	1.7913031693878823e-65
MONDO:0020159	congenital entropion	117	98	1017	12327	1.611898829648054e-69	1.7913031693878823e-65
MONDO:0016072	anomaly of puberty or/and menstrual cycle of genetic origin	129	86	1352	11992	2.2803108304698437e-69	2.5341094259011373e-65
MONDO:0020237	lens shape anomaly	116	99	996	12348	2.50024547514786e-69	2.778522796531817e-65
MONDO:0015860	anomaly of puberty or/and menstrual cycle	129	86	1354	11990	2.697225775731206e-69	2.9974270045700896e-65
